site_number,buff_dist,airp_runway,borrowpit_dry,borrowpit_wet,borrowpits,camp_industrial,campground,canal,cfo,clearing_unknown,clearing_wellpad_unconfirmed,conventional_seismic,country_residence,crop,cultivation_abandoned,dugout,facility_other,facility_unknown,fruit_vegetables,golfcourse,greenspace,grvl_sand_pit,harvest_area,harvest_area_white_zone,lagoon,landfill,low_impact_seismic,mill,mines_pitlake,misc_oil_gas_facility,oil_gas_plant,open_pit_mine,pipeline,recreation,reservoir,residence_clearing,rlwy_mlt_track,rlwy_sgl_track,rlwy_spur,road_gravel_1l,road_gravel_2l,road_paved_1l,road_paved_2l,road_paved_3l,road_paved_4l,road_paved_div,road_paved_undiv_1l,road_paved_undiv_2l,road_unclassified,road_unimproved,road_unpaved_2l,road_winter,rough_pasture,runway,rural_residence,sump,surrounding_veg,tame_pasture,trail,transfer_station,transmission_line,truck_trail,urban_industrial,urban_residence,vegetated_edge_railways,vegetated_edge_roads,well_cleared_not_confirmed,well_cleared_not_drilled,well_aband,well_bitumen,well_cased,well_gas,well_oil,well_other,well_unknown,110,120,20,210,220,230,33,34,50,1940,1950,1960,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,feature_area
1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43153740100000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846992388,0,0,0,0,0.15300761200000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028502108023982096,0,0,0,0,0,0,0,0.0478415512996831,0,0,0,0,0,0,0,0,0,0,0,0,0.35519374195878695,0,0,0,0,0,0,0,0,0,0,0,0
2,250,0,0,0,0,0,0,0,0,0,0,5.410000000000001e-5,0,0,0,0,0,0,0,0,0,0,0.341836908,0,0,0,0,0,0,0.131389054,0,0,0.14796286300000003,0,0,0,0,0,0,0.05987523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09955089399999997,0,0,0,0,0,0,0,0,0,0.36080834300000003,0,0,0,0.180030462,0,0,0.451402952,0.007758273999999999,0,0,0,0,0,0,0,0.341836907547073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014835549000000002,0,0,0,0,0,0,0.0070503779999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010959466999999999,0,0,0,0,0,0,0.012899685000000001,0,0,0,0,0,0,0,0.018290447,0,0.061762115,0,0,0.7426294230000001,0,0,0,0.07159975500000001,0.124008617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38837559200000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.109999999999999e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011169290000000002,0,0,0,0,0,0,0,0.031801471,0,0,0,0,0.44222248700000005,0,0,0,0.008365804,0.549411694,0,0,0,0,0,0,0,0.20899014856011605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17938544340714604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4238583810000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067477330000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014254088,0,0,0,0,0,0,0.033158030000000005,0,0,0,0,0,0.2844821870000001,0,0,0,0.045219671,0.670298251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42385838101241413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,250,0,0,0,0,0,0,0,0,0,0,0.004236477999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07521023600000001,0,0,0,0,0,0,0.031471687000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006308472,0,0.046043894,0,0,0,0,0.059455481,0,0,0,0,0,0,0.036258730999999995,0,0,0.18541474300000002,0,0,0.04353500700000001,0.47280175700000004,0,0,0.298248559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9863060279999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003400216,0,0,0.010293756999999999,0,0,0,0,0,0,0,0,0,9.55204e-4,0,0,0,0.066926417,0.93211833,0,0,0,0,0,0,0,0.8795698108943711,0,0,0,0,0,0,0,0,0,0.10673621688993003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,250,0,0,0,0,0,0,0,0,0,0,7.79482e-4,0,0,0,0,0,0,0,0,0,0,0.555611085,0,0,0,0,0,0,0,0,0,0.049125277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29413699500000007,0,0,0.374301844,0,0,0,0,0.331561161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37767420432855703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17793688047680306,0,0,0,0,0,0,0
18,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626754282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360080628,0,0,0,0,0.639919372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47285133037134103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15390295189393405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7802156629999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008912736999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24977371,0.33402002199999997,0,0,0,0.4162062690000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420121925550174,0,0,0,0,0,0,0,0,0,0.00400752783651997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35608620999071205,0,0,0,0,0,0,0,0,0,0,0,0,0
