project_id,site_number,site,array,start_date,end_date
SRFN,1,LUD_1,LUD,2022-04-06,2023-10-03
SRFN,2,LUC_2,LUC,2022-04-07,2023-10-04
SRFN,4,LUC_4,LUC,2022-04-06,2023-10-05
SRFN,6,LUS_6,LUS,2022-04-05,2023-09-29
SRFN,10,LUS_10,LUS,2022-05-05,2023-09-26
SRFN,12,LUBF_12,LUBF,2022-04-06,2023-09-29
SRFN,13,LUC_13,LUC,2022-04-06,2023-09-29
SRFN,17,LUC_17,LUC,2022-04-06,2023-09-29
SRFN,18,LUC_18,LUC,2022-05-05,2023-10-23
SRFN,21,LUC_21,LUC,2022-04-15,2023-10-23
SRFN,23,LUC_23,LUC,2022-04-07,2023-09-18
SRFN,24,LUC_24,LUC,2022-05-14,2022-12-24
SRFN,26,LUC_26,LUC,2022-04-15,2023-04-18
SRFN,30,LUBF_30,LUBF,2022-04-02,2023-07-05
SRFN,31,LUC_31,LUC,2022-04-14,2023-12-14
SRFN,35,LUBF_35,LUBF,2022-04-01,2023-08-11
SRFN,37,LUC_37,LUC,2022-04-27,2023-09-27
SRFN,38,LUC_38,LUC,2022-04-14,2023-02-07
SRFN,39,LUS_39,LUS,2022-04-14,2023-12-14
SRFN,42,LUC_42,LUC,2022-10-31,2022-11-01
SRFN,44,LUBF_44,LUBF,2022-03-31,2023-09-27
SRFN,45,LUC_45,LUC,2022-04-13,2023-04-03
SRFN,46,LUBF_46,LUBF,2022-04-28,2023-09-28
SRFN,51,LUC_51,LUC,2022-05-11,2023-04-19
SRFN,55,LUBF_55,LUBF,2022-03-31,2023-08-02
SRFN,56,LUS_56,LUS,2022-04-01,2023-08-02
SRFN,58,LUBF_58,LUBF,2022-04-28,2023-09-27
SRFN,60,LUC_60,LUC,2022-04-07,2023-09-27
SRFN,62,LUBF_62,LUBF,2022-05-11,2023-10-31
SRFN,63,LUBF_63,LUBF,2022-04-07,2023-10-05
SRFN,67,LUBF_67,LUBF,2022-04-07,2023-08-09
SRFN,70,LUS_70,LUS,2022-05-17,2022-09-27
SRFN,74,LUG_74,LUG,2022-05-18,2022-12-17
SRFN,75,LUBF_75,LUBF,2022-05-13,2023-12-07
SRFN,77,LUC_77,LUC,2022-04-08,2023-08-10
SRFN,81,LUBF_81,LUBF,2022-04-21,2023-08-10
SRFN,83,LUBF_83,LUBF,2022-05-12,2023-12-07
SRFN,88,LUBF_88,LUBF,2022-04-11,2022-11-15
SRFN,94,LUS_94,LUS,2022-06-08,2023-10-03
SRFN,95,LUS_95,LUS,2022-04-12,2022-11-22
SRFN,99,LUBF_99,LUBF,2022-04-20,2023-12-01
SRFN,100,LUUK_100,LUUK,2022-04-21,2023-04-20
SRFN,104,LUBF_104,LUBF,2022-04-22,2023-11-30
SRFN,105,LUBF_105,LUBF,2022-04-21,2023-11-30
SRFN,107,LUS_107,LUS,2022-04-12,2023-08-03
SRFN,110,LUC_110,LUC,2022-05-05,2022-11-16
SRFN,117,LUC_117,LUC,2022-04-12,2024-01-09
SRFN,118,LUS_118,LUS,2022-05-09,2023-06-02
SRFN,119,LUAG_119,LUAG,2022-04-12,2023-08-08
SRFN,120,LUS_120,LUS,2022-04-14,2023-05-30
SRFN,121,LUBF_121,LUBF,2022-04-30,2023-09-20
SRFN,124,LUAG_124,LUAG,2022-04-19,2023-08-04
SRFN,125,LUW_125,LUW,2022-03-30,2023-09-19
SRFN,126,LUBF_126,LUBF,2022-03-30,2023-08-08
SRFN,130,LUBF_130,LUBF,2022-04-08,2023-09-19
SRFN,131,LUS_131,LUS,2022-10-04,2023-09-19
SRFN,132,LUBF_132,LUBF,2022-05-13,2023-08-04
SRFN,136,LUS_136,LUS,2022-05-19,2023-09-19
SRFN,137,LUAG_137,LUAG,2022-05-21,2023-05-12
SRFN,140,LUBF_140,LUBF,2022-05-24,2023-07-07
SRFN,141,LUC_141,LUC,2022-05-25,2023-09-20
SRFN,163,LUUK_163,LUUK,2023-01-10,2023-09-26
SRFN,165,LUUK_165,LUUK,2023-01-14,2023-09-27
SRFN,166,LUUK_166,LUUK,2023-01-14,2023-12-06
