site,black_bear,coyote,red_fox,white-tailed_deer,fisher,grey_wolf,grizzly_bear,marten,snowshoe_hare,elk,moose,mule_deer,lynx,cougar,absent_black_bear,absent_coyote,absent_red_fox,absent_white-tailed_deer,absent_fisher,absent_grey_wolf,absent_grizzly_bear,absent_marten,absent_snowshoe_hare,absent_elk,absent_moose,absent_mule_deer,absent_lynx,absent_cougar
LUAG_119,4,8,1,13,0,0,0,0,0,0,0,0,0,0,9,8,15,3,16,16,13,16,16,16,16,16,16,16
LUAG_124,1,2,1,12,1,1,1,1,5,0,0,0,0,0,12,13,14,3,14,14,12,14,10,15,15,15,15,15
LUAG_137,3,6,1,9,0,0,0,2,1,7,4,1,0,0,6,5,10,2,11,11,9,9,10,4,7,10,11,11
LUBF_104,1,2,1,16,0,1,0,0,0,2,8,3,0,0,15,17,18,3,19,18,16,19,19,17,11,16,19,19
LUBF_105,0,0,0,11,0,0,0,0,1,0,11,0,0,0,16,19,19,8,19,19,16,19,18,19,8,19,19,19
LUBF_12,0,1,0,7,0,0,0,0,5,0,1,1,1,0,14,17,18,11,18,18,14,18,13,18,17,17,17,18
LUBF_121,6,11,1,14,0,2,0,0,1,0,7,0,1,1,8,6,16,3,17,15,14,17,16,17,10,17,16,16
LUBF_126,3,7,2,8,1,3,0,0,3,0,7,0,2,0,10,9,14,8,15,13,13,16,13,16,9,16,14,16
LUBF_130,0,1,0,5,0,0,0,0,0,0,13,0,0,0,14,17,18,13,18,18,14,18,18,18,5,18,18,18
LUBF_132,4,8,0,11,0,3,0,0,0,8,3,0,0,0,8,7,15,4,15,12,12,15,15,7,12,15,15,15
LUBF_140,0,0,0,4,0,0,0,0,0,0,2,0,0,0,11,13,13,9,13,13,11,13,13,13,11,13,13,13
LUBF_30,1,2,0,7,1,0,0,0,3,0,0,1,1,0,11,13,15,8,14,15,12,15,12,15,15,14,14,15
LUBF_35,2,1,0,16,0,3,0,0,0,0,2,0,0,0,11,15,16,0,16,13,13,16,16,16,14,16,16,16
LUBF_44,8,2,0,16,0,0,0,0,0,1,6,0,2,0,6,16,18,2,18,18,14,18,18,17,12,18,16,18
LUBF_46,0,1,0,13,0,0,0,0,4,1,4,0,1,0,14,16,17,4,17,17,14,17,13,16,13,17,16,17
LUBF_55,3,3,0,16,0,0,0,0,0,1,11,2,0,0,10,13,16,0,16,16,13,16,16,15,5,14,16,16
LUBF_58,2,0,0,5,0,0,0,0,0,0,3,1,0,0,12,17,17,12,17,17,14,17,17,17,14,16,17,17
LUBF_62,1,0,0,17,0,0,1,0,0,0,2,1,0,0,13,18,18,1,18,18,13,18,18,18,16,17,18,18
LUBF_63,2,0,0,18,0,1,0,0,0,0,2,1,0,0,13,18,18,0,18,17,15,18,18,18,16,17,18,18
LUBF_67,2,0,0,10,0,0,0,0,0,0,1,0,0,0,11,16,16,6,16,16,13,16,16,16,15,16,16,16
LUBF_75,2,1,0,15,0,2,0,0,1,0,7,2,1,0,13,18,19,4,19,17,15,19,18,19,12,17,18,19
LUBF_81,2,1,0,9,1,0,0,1,1,0,6,0,1,0,11,14,15,6,14,15,13,14,14,15,9,15,14,15
LUBF_83,4,1,0,17,0,0,0,1,5,0,10,0,1,0,11,18,19,2,19,19,15,18,14,19,9,19,18,19
LUBF_88,1,4,0,7,0,4,0,0,0,0,2,1,1,0,7,4,8,1,8,4,8,8,8,8,6,7,7,8
LUBF_99,9,1,1,15,2,3,1,0,0,3,5,0,1,1,7,18,18,4,17,16,15,19,19,16,14,19,18,18
LUC_110,0,0,0,5,0,0,0,0,0,0,1,0,0,1,7,7,7,2,7,7,7,7,7,7,6,7,7,6
LUC_117,0,7,1,4,1,0,0,0,0,0,0,0,0,0,16,14,20,17,20,21,16,21,21,21,21,21,21,21
LUC_13,4,4,1,9,0,3,0,0,10,1,7,0,8,0,10,14,17,9,18,15,14,18,8,17,11,18,10,18
LUC_141,1,3,1,16,0,0,1,1,0,0,4,0,0,0,12,13,15,0,16,16,12,15,16,16,12,16,16,16
LUC_17,6,2,0,10,0,2,0,0,1,0,1,0,5,0,8,16,18,8,18,16,14,18,17,18,17,18,13,18
LUC_18,0,0,0,2,0,0,0,0,0,0,2,0,0,0,14,18,18,16,18,18,14,18,18,18,16,18,18,18
LUC_2,0,8,1,5,1,1,0,0,4,0,0,0,0,0,15,10,17,13,17,17,15,18,14,18,18,18,18,18
LUC_21,2,1,0,6,0,0,0,0,7,0,1,0,0,0,13,18,19,13,19,19,15,19,12,19,18,19,19,19
LUC_23,7,2,0,12,0,2,3,0,0,0,5,0,3,0,7,16,18,6,18,16,11,18,18,18,13,18,15,18
LUC_24,1,1,0,2,0,0,1,0,0,0,0,0,0,0,6,7,8,6,8,8,6,8,8,8,8,8,8,8
LUC_26,3,0,0,7,0,1,1,0,0,0,6,0,4,0,6,13,13,6,13,12,8,13,13,13,7,13,9,13
LUC_31,0,0,0,9,0,0,0,0,0,0,6,0,1,0,16,20,20,11,20,20,16,20,20,20,14,20,19,20
LUC_37,0,0,0,2,0,0,0,0,0,0,5,0,0,0,14,17,17,15,17,17,14,17,17,17,12,17,17,17
LUC_38,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,10,10,8,10,10,8,10,10,10,9,10,10,10
LUC_4,2,0,0,3,0,0,0,0,3,0,1,0,1,0,13,18,18,15,18,18,15,18,15,18,17,18,17,18
LUC_45,3,1,0,7,0,2,0,0,3,0,1,0,1,0,6,11,12,5,12,10,9,12,9,12,11,12,11,12
LUC_51,3,0,0,2,0,0,0,0,8,0,2,0,0,0,5,12,12,10,12,12,8,12,4,12,10,12,12,12
LUC_60,0,1,0,8,0,0,0,0,4,0,0,0,0,0,14,17,18,10,18,18,14,18,14,18,18,18,18,18
LUC_77,2,0,0,2,0,1,0,0,8,0,2,0,0,0,11,16,16,14,16,15,13,16,8,16,14,16,16,16
LUD_1,2,2,0,4,0,0,0,0,5,0,4,0,0,0,13,16,18,14,18,18,15,18,13,18,14,18,18,18
LUG_74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,7,7,7,7,7,7,7,7,7,7,7
LUS_10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,17,17,17,17,17,13,17,16,17,16,17,17,17
LUS_107,1,0,0,11,0,0,0,0,0,0,10,1,0,0,12,16,16,5,16,16,13,16,16,16,6,15,16,16
LUS_118,2,0,0,12,2,0,0,0,0,0,7,0,0,0,8,13,13,1,11,13,10,13,13,13,6,13,13,13
LUS_120,3,2,0,14,0,1,0,0,0,2,12,2,0,1,7,12,14,0,14,13,10,14,14,12,2,12,14,13
LUS_131,0,4,0,7,1,0,0,0,5,0,7,0,4,0,8,8,12,5,11,12,8,12,7,12,5,12,8,12
LUS_136,1,10,2,10,1,1,0,0,6,0,7,1,1,0,12,6,14,6,15,15,13,16,10,16,9,15,15,16
LUS_39,3,5,0,19,1,6,0,0,6,0,13,0,5,1,13,15,20,1,19,14,16,20,14,20,7,20,15,19
LUS_56,7,10,1,14,0,6,0,0,7,2,9,0,7,0,6,6,15,2,16,10,13,16,9,14,7,16,9,16
LUS_6,5,2,0,5,0,0,1,0,2,0,4,0,5,0,9,16,18,13,18,18,13,18,16,18,14,18,13,18
LUS_70,0,0,0,1,0,1,1,0,0,0,0,0,1,0,5,5,5,4,5,4,4,5,5,5,5,5,4,5
LUS_94,1,2,0,9,0,0,0,0,0,0,4,0,1,0,12,14,16,7,16,16,13,16,16,16,12,16,15,16
LUS_95,0,0,0,4,0,0,0,0,0,0,2,0,0,0,8,8,8,4,8,8,8,8,8,8,6,8,8,8
LUUK_100,0,1,0,3,0,0,0,2,0,2,6,4,0,0,9,11,12,9,12,12,9,10,12,10,6,8,12,12
LUUK_163,0,0,0,4,0,0,0,0,1,0,2,0,0,0,6,9,9,5,9,9,6,9,8,9,7,9,9,9
LUUK_165,3,0,0,8,0,0,0,0,0,0,3,0,0,0,3,9,9,1,9,9,6,9,9,9,6,9,9,9
LUUK_166,4,2,0,9,0,4,5,0,2,0,8,0,2,1,4,9,11,2,11,7,3,11,9,11,3,11,9,10
LUW_125,0,3,0,11,0,0,0,0,2,0,3,0,0,0,14,15,18,7,18,18,14,18,16,18,15,18,18,18
